id_spatial,community_board,borough,name,overall_pop,race_white,race_black,race_asian,race_latino,race_other,age0to17,age18to24,age25to44,age45to64,age65plus,on_time_hs_grad,not_complete_hs,hs_some_college,college_higher,poverty,rent_burden,obesity,hypertension,life_expectancy,self_rep_health,boro,garden_name,address,size,latitude,longitude,avg_org_value,avg_rev_value,avg_tot_appropriated
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Carrie McCracken Garden/TRUCE,143-145 St. Nicholas Avenue,0.059,40.804436,-73.952746,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Childrens Aid Soc. Garden (The Sowers),21 West 118th Street,0.057,40.802366,-73.94642,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Clayton Williams Garden,303 W 126th Street,0.057,40.810959,-73.950928,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Colonial Gardeners,304-306 West 150th St,NA,40.826069,-73.939785,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Edward P. Bowman Park,52 W 129th Street,0.046,40.809753,-73.94231,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Elizabeth Langley Memorial Garden,121-123 West 137th Street,0.11,40.815768,-73.940759,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Five Star Block Association,250-252 West 121st Street,0.083,40.807004,-73.951621,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Garden,Fredrick Douglas Blvd. and W. 152ns St,0.046,NA,NA,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Garden of Love,302 West 116th Street,0.087,40.804522,-73.955636,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Harlem Success Garden - P.S. 175/I.S. 275,116 - 122 West 134th Street,0.25,40.813777,-73.942176,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Harlem Village Green,52 W 129th Street,0.046,40.809753,-73.94231,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Joseph Daniel Wilson Memorial Gardens,219 W. 122nd Street,0.06,40.807407,-73.950588,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Margrichantie Memorial Garden,155-159 W. 133rd Street,0.171,40.813563,-73.943564,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,New 123rd Street Block Association,"112,114 & 116 W. 123rd Street",0.14,NA,NA,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Our Little Green Acre,275-277 West 122nd Street,0.052,40.807872,-73.951693,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,P.S. 185/208M,20 W. 112th Street,NA,40.798511,-73.949251,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,P.S. 200,2599 7th Avenue.  NY NY 10039,NA,40.824714,-73.936841,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,P.S. 207/149,34 W. 118th Street,NA,40.80247,-73.946716,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,P.S. 242,"134 West 122nd Street, NY, NY 10027",NA,40.8063,-73.948013,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,P.S. 76 - Garden of Perserverance,203 W. 120th Street   NY NY 10027,0.057,40.80598,-73.951098,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Rev. Linnette C. Williamson Memorial Park,65-67 W. 128th Street,0.057,40.809144,-73.942758,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,Unity Garden,53-55 West 128th Street,0.129,40.809031,-73.942488,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,West 124th Street Community Garden,West 124th Street and 5th Avenue,0.046,NA,NA,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,West 131st Street Community Garden,34 West 131st Street,NA,40.81071,-73.940702,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,West 132nd Street Garden,108-114 W. 132nd Street,0.171,40.812454,-73.942882,844122.5357142857,923161.4523809524,NA
110,M10,Manhattan,Central Harlem,116345,9,62,3,23,3,21,10,35,24,11,64,19,39,42,21,48,34,35,76.2,79,M,William B. Washington Memorial Garden,321-325 West 126th Street,0.09,40.811116,-73.9513,844122.5357142857,923161.4523809524,NA
